title,date,author,url,source
CGI.br e NIC.br lançam programa de incentivo à pesquisa sobre impactos da Inteligência Artificial na Web,2025-11-11,CGI.br Notícias,https://cgi.br/noticia/releases/cgi-br-e-nic-br-lancam-programa-de-incentivo-a-pesquisa-sobre-impactos-da-inteligencia-artificial-na-web/,CGI Notícias
"Nota de pesar: Rubens Kühl, gerente de produtos e mercado do Registro.br",2025-11-03,CGI.br Notícias,https://cgi.br/noticia/notas/nota-de-pesar-rubens-kuhl-gerente-de-produtos-e-mercado-do-registro-br/,CGI Notícias
"Note of Condolence: Rubens Kühl, Registro.br Product Marketing Manager",2025-11-03,CGI.br Notícias,https://cgi.br/noticia/notas/note-of-condolence-rubens-kuhl-registro-br-product-marketing-manager/,CGI Notícias
"TIC Kids Online Brasil: 65% das crianças e dos adolescentes usam IA generativa para estudar, criar conteúdo e lidar com emoções",22 OUT 2025,CGI.br Notícias,https://cgi.br/noticia/releases/tic-kids-online-brasil-65-das-criancas-e-dos-adolescentes-usam-ia-generativa-para-estudar-criar-conteudo-e-lidar-com-emocoes/,CGI Notícias
10º Simpósio de Crianças e Adolescentes na Internet debate ECA Digital e impactos das apostas online no público infantojuvenil,16 OUT 2025,CGI.br Notícias,https://cgi.br/noticia/releases/10-simposio-de-criancas-e-adolescentes-na-internet-debate-eca-digital-e-impactos-das-apostas-online-no-publico-infantojuvenil/,CGI Notícias
"Uso de Inteligência Artificial em equipamentos culturais brasileiros é incipiente, mas digitalização avança, revela pesquisa TIC Cultura 2024",07 OUT 2025,CGI.br Notícias,https://cgi.br/noticia/releases/uso-de-inteligencia-artificial-em-equipamentos-culturais-brasileiros-e-incipiente-mas-digitalizacao-avanca-revela-pesquisa-tic-cultura-2024/,CGI Notícias
Mais acessível e completo: conheça o novo site do Cetic.br,30 SET 2025,CGI.br Notícias,https://cgi.br/noticia/notas/mais-acessivel-e-completo-conheca-o-novo-site-do-cetic-br/,CGI Notícias
"Evento em São Paulo celebra 15 anos de SACI-Adm, referência na disputa de domínios de Internet no Brasil",30 SET 2025,CGI.br Notícias,https://cgi.br/noticia/releases/evento-em-sao-paulo-celebra-15-anos-de-saci-adm-referencia-na-disputa-de-dominios-de-internet-no-brasil/,CGI Notícias
Carta de Maputo do 3º Fórum Lusófono de Governação da Internet,23 SET 2025,CGI.br Notícias,https://cgi.br/noticia/notas/carta-de-maputo-do-3-forum-lusofono-de-governacao-da-internet/,CGI Notícias
"Nota de pesar: Péter Major, referência global em governança na Internet",19 SET 2025,CGI.br Notícias,https://cgi.br/noticia/notas/nota-de-pesar-peter-major-referencia-global-em-governanca-na-internet/,CGI Notícias
"Note of Condolence: Péter Major, a Global Reference in Internet Governance",19 SET 2025,CGI.br Notícias,https://cgi.br/noticia/notas/note-of-condolence-peter-major-a-global-reference-in-internet-governance/,CGI Notícias
"Sete em cada dez alunos do Ensino Médio usam IA generativa em pesquisas escolares, revela TIC Educação",16 SET 2025,CGI.br Notícias,https://cgi.br/noticia/releases/sete-em-cada-dez-alunos-do-ensino-medio-usam-ia-generativa-em-pesquisas-escolares-revela-tic-educacao/,CGI Notícias
15º Workshop do Cetic.br debate integração de dados emergentes e novas tecnologias em pesquisas,01 SET 2025,CGI.br Notícias,https://cgi.br/noticia/notas/15-workshop-do-cetic-br-debate-integracao-de-dados-emergentes-e-novas-tecnologias-em-pesquisas/,CGI Notícias
"Ex-coordenador do CGI.br, Virgilio Almeida tomará posse como membro da Academia Nacional de Engenharia dos Estados Unidos",01 SET 2025,CGI.br Notícias,https://cgi.br/noticia/notas/ex-coordenador-do-cgi-br-virgilio-almeida-tomara-posse-como-membro-da-academia-nacional-de-engenharia-dos-estados-unidos/,CGI Notícias
Representantes do governo do Reino Unido visitam sede do NIC.br e discutem fortalecimento de parceria com a entidade,26 AGO 2025,CGI.br Notícias,https://cgi.br/noticia/notas/representantes-do-governo-do-reino-unido-visitam-sede-do-nic-br-e-discutem-fortalecimento-de-parceria-com-a-entidade/,CGI Notícias
NIC.br e ANPD renovam parceria para o fortalecimento da proteção de dados no país,25 AGO 2025,CGI.br Notícias,https://cgi.br/noticia/releases/nic-br-e-anpd-renovam-parceria-para-o-fortalecimento-da-protecao-de-dados-no-pais/,CGI Notícias
"2º Seminário do OBIA debate impactos da IA no trabalho, na educação e no ambiente",25 AGO 2025,CGI.br Notícias,https://cgi.br/noticia/releases/2-seminario-do-obia-debate-impactos-da-ia-no-trabalho-na-educacao-e-no-ambiente/,CGI Notícias
NIC.br lança podcast sobre a história e os rumos da governança da Internet no Brasil,22 AGO 2025,CGI.br Notícias,https://cgi.br/noticia/releases/nic-br-lanca-podcast-sobre-a-historia-e-os-rumos-da-governanca-da-internet-no-brasil/,CGI Notícias
"Nota de pesar: Liane Tarouco, pioneira no desenvolvimento de redes no Brasil",20 AGO 2025,CGI.br Notícias,https://cgi.br/noticia/notas/nota-de-pesar-liane-tarouco-pioneira-no-desenvolvimento-de-redes-no-brasil/,CGI Notícias
Seminário de Privacidade e Dados Pessoais celebra 15 anos com debates sobre IA e cibersegurança,19 AGO 2025,CGI.br Notícias,https://cgi.br/noticia/releases/seminario-de-privacidade-e-dados-pessoais-celebra-15-anos-com-debates-sobre-ia-e-ciberseguranca/,CGI Notícias
NIC.br oferece novos domínios .br com foco em tecnologia e identidade digital,19 AGO 2025,CGI.br Notícias,https://cgi.br/noticia/releases/nic-br-oferece-novos-dominios-br-com-foco-em-tecnologia-e-identidade-digital/,CGI Notícias
"Após consulta aberta, CGI.br apresenta versão final dos Princípios para a Regulação de Redes Sociais",14 AGO 2025,CGI.br Notícias,https://cgi.br/noticia/releases/apos-consulta-aberta-cgi-br-apresenta-versao-final-dos-principios-para-a-regulacao-de-redes-sociais/,CGI Notícias
Prêmio reconhece atuação do Ceweb.br por uma Web mais acessível no Brasil,11 AGO 2025,CGI.br Notícias,https://cgi.br/noticia/releases/premio-reconhece-atuacao-do-ceweb-br-por-uma-web-mais-acessivel-no-brasil/,CGI Notícias
Ceweb.br oferece minicursos gratuitos para promover boas práticas de acessibilidade digital,01 AGO 2025,CGI.br Notícias,https://cgi.br/noticia/releases/ceweb-br-oferece-minicursos-gratuitos-para-promover-boas-praticas-de-acessibilidade-digital/,CGI Notícias
Ceweb.br organiza debate sobre os impactos dos “agentes de IA” no ecossistema da Web,01 AGO 2025,CGI.br Notícias,https://cgi.br/noticia/notas/ceweb-br-organiza-debate-sobre-os-impactos-dos-agentes-de-ia-no-ecossistema-da-web/,CGI Notícias
Iniciativa do CGI.br e do NIC.br busca fortalecer papel do Brasil na discussão de padrões para a Internet,2025-07-24,CGI.br Notícias,https://cgi.br/noticia/notas/iniciativa-do-cgi-br-e-do-nic-br-busca-fortalecer-papel-do-brasil-na-discussao-de-padroes-para-a-internet/,CGI Notícias
Belém será a cidade-sede do 16º Fórum da Internet no Brasil,2025-07-18,CGI.br Notícias,https://cgi.br/noticia/releases/belem-sera-a-cidade-sede-do-16-forum-da-internet-no-brasil/,CGI Notícias
